name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Dinoprostona Vaginal,Prostaglandina,0.5 mg (gel),Cada 6 horas,1.5 mg/24h,Vaginal,Inducción del parto,Calambres uterinos,Hipersensibilidad
Dinutuximab,Anticuerpo Monoclonal Anti-GD2,17.5 mg/m²,"Infusión IV diaria por 4 días consecutivos, por ciclo",17.5 mg/m²/día,IV,Neuroblastoma alto riesgo pediátrico,"Dolor severo, reacciones infusión, síndrome fuga capilar, hipotensión, neuropatía periférica, alteraciones electrolíticas, mielosupresión",Hipersensibilidad grave previa
Dipiridamol,Antiplaquetario,75-100 mg,3-4 veces/día,400 mg/día,"Oral, IV",Profilaxis tromboembolismo válvulas cardíacas; Agente diagnóstico estrés cardíaco,"Cefalea, mareo, náuseas, diarrea, hipotensión, angina","Hipersensibilidad, angina inestable, estenosis aórtica subvalvular, hipotensión severa, IC descompensada"
Dipiridamol,Antiagregante plaquetario,75 mg,3 veces al día,400 mg/día,Oral,Prevención de ACV,"Cefalea, mareos",Hipotensión
Dipiridamol/Aspirina,Antiplaquetario/AINE,Dipiridamol 200 mg / Aspirina 25 mg,Dos veces al día,400 mg Dipiridamol / 50 mg Aspirina día,Oral,Prevención secundaria ACV isquémico/AIT,"Cefalea, mareo, diarrea, náuseas, mialgia, sangrado, dispepsia","Hipersensibilidad a componentes/AINEs, diátesis hemorrágica, úlcera péptica activa, IC grave, embarazo último trimestre"
Dipivefrina,Agonista Adrenérgico,1 gota (0.1%),Dos veces al día,2 gotas/ojo/día,Oftálmico,Glaucoma,Irritación ocular,Hipersensibilidad
Diritromicina,Antibiótico Macrólido,500 mg,Una vez al día,500 mg/día,Oral,"Infecciones respiratorias, Infecciones piel","Náuseas, diarrea, dolor abdominal, cefalea, aumento transaminasas",Hipersensibilidad a macrólidos
Diritromicina,Antibiótico,500 mg,Una vez al día,500 mg/día,Oral,Infecciones bacterianas,"Náuseas, diarrea",Hipersensibilidad
Disopiramida,Antiarrítmico,100-200 mg,Cada 6 horas o cada 12 horas,800 mg/día,Oral,"Arritmias ventriculares, Arritmias supraventriculares","Efectos anticolinérgicos, hipotensión, IC, prolongación QT, torsades de pointes, náuseas","Hipersensibilidad, shock cardiogénico, bloqueo AV 2º-3º grado, QT largo, IC descompensada severa, glaucoma ángulo estrecho, miastenia gravis"
Disopiramida Cápsula,Antiarrítmico,150 mg,Cada 6 horas,800 mg/día,Oral,Arritmias,"Boca seca, retención urinaria",Insuficiencia cardíaca
Disopiramida Fosfato,Antiarrítmico,100-200 mg,Cada 6 horas o cada 12 horas,800 mg/día,Oral,Arritmias ventriculares y supraventriculares,"Efectos anticolinérgicos, hipotensión, IC, prolongación QT, torsades de pointes, náuseas","Hipersensibilidad, shock cardiogénico, bloqueo AV 2º-3º grado, QT largo, IC descompensada severa, glaucoma, miastenia gravis"
Disulfiram,Desintoxicante de Alcohol,Inicial: 500 mg; Mantenimiento: 125-500 mg,1 vez/día,500 mg/día,Oral,Tratamiento adyuvante alcoholismo crónico,"Somnolencia, fatiga, cefalea, sabor metálico, neuropatía, neuritis óptica, psicosis, hepatotoxicidad; Reacción disulfiram-alcohol","Hipersensibilidad a tiocarbamatos, consumo reciente alcohol/metronidazol, enf cardiovascular severa, psicosis, embarazo, I.H. grave"
Disulfiram,Disuasivo del alcohol,250 mg,Una vez al día,500 mg/día,Oral,Alcoholismo,"Náuseas, somnolencia",Consumo de alcohol
Divalproato,Anticonvulsivante,Inicial: 10-15 mg/kg/día,Dividido 2 veces/día/TID o día con formas ER,60 mg/kg/día,Oral,"Epilepsia, Manía aguda, Profilaxis migraña","somnolencia, mareo, temblor, alopecia, aumento peso, trombocitopenia, hiperamonemia, hepatotoxicidad, pancreatitis","Hipersensibilidad, enfermedad hepática activa, trastornos ciclo urea, porfiria, trastornos mitocondriales POLG, embarazo"
Divalproato Sódico ER,Anticonvulsivo,500 mg,Una vez al día,60 mg/kg/día,Oral,Convulsiones,"Náuseas, toxicidad hepática",Enfermedad hepática
Dobutamina,Agente Inotrópico,2.5-15 mcg/kg/min,Infusión IV continua,40 mcg/kg/min,IV,"Insuficiencia cardíaca aguda, Shock cardiogénico","Taquicardia, arritmias, hipertensión/hipotensión, dolor torácico, disnea, náuseas","Hipersensibilidad, estenosis subaórtica hipertrófica idiopática, feocromocitoma"
Dobutamina Clorhidrato,Agente Inotrópico,2.5-20 mcg/kg/min,Infusión continua,Sin máximo fijo,IV,Shock,"Taquicardia, hipotensión",Feocromocitoma
Docetaxel,Taxano,60-100 mg/m²,Infusión IV cada 3 semanas,100 mg/m²,IV,"Cáncer mama, CPNM, Cáncer próstata, Adenocarcinoma gástrico, Cáncer cabeza/cuello","Neutropenia, anemia, trombocitopenia, reacciones hipersensibilidad, retención líquidos, neuropatía periférica, astenia, mialgia, alopecia, mucositis","Hipersensibilidad a taxanos/polisorbato 80, neutrófilos <1500/mm³, I.H. grave, embarazo, lactancia"
Docetaxel,Taxano,75 mg/m²,Cada 3 semanas,Sin máximo fijo,IV,Cáncer de mama,"Neutropenia, neuropatía",Hipersensibilidad
Docosanol,Antiviral,Aplicar crema 10%,5 veces al día,Aplicación 5 veces día,Tópico,Herpes labial recurrente,"Cefalea, reacción sitio aplicación",Hipersensibilidad
Docosanol Crema,Antiviral,10% crema,5 veces al día,Sin máximo fijo,Tópico,Herpes labial,Irritación,Hipersensibilidad
Dofetilida,Antiarrítmico,Inicial 125-500 mcg según ClCr/QTc,Dos veces al día,1000 mcg/día,Oral,Conversión y mantenimiento ritmo sinusal en FA/Flutter auricular,"Prolongación QT, Torsades de Pointes, cefalea, mareo, dolor torácico","Hipersensibilidad, QT largo congénito, QTc basal >440 ms, I.R. grave, uso concomitante ciertos fármacos"
Dofetilida,Antiarrítmico,0.5 mg,Dos veces al día,1 mg/día,Oral,Arritmias,"Prolongación QT, torsades de pointes",Insuficiencia renal severa
Dofetilida Cápsula,Antiarrítmico,125-500 mcg según ClCr/QTc,Dos veces al día,1000 mcg/día,Oral,Conversión y mantenimiento ritmo sinusal en FA/Flutter auricular,"Prolongación QT, Torsades de Pointes, cefalea, mareo, dolor torácico","Hipersensibilidad, QT largo congénito, QTc basal >440 ms, I.R. grave, uso concomitante ciertos fármacos"
Dolasetron,Antiemético,100 mg Oral; 12.5 mg IV,Dosis única,100 mg/día,"Oral, IV",Prevención náuseas/vómitos por quimioterapia; Prevención náuseas/vómitos postoperatorios,"Cefalea, mareo, fatiga, estreñimiento, diarrea, prolongación QT",Hipersensibilidad
Dolasetron Mesilato,Antiemético,100 mg,Dosis única según necesidad,100 mg/día,"Oral, IV",Prevención náuseas/vómitos quimio/postoperatorios,"Cefalea, mareo, fatiga, estreñimiento, diarrea, prolongación QT",Hipersensibilidad
Dolasetrón Mesilato,Antiemético,12.5 mg,Según necesidad,12.5 mg/día,IV,Náuseas,"Cefalea, mareos",Hipersensibilidad
Dolutegravir,Inhibidor de Integrasa,50 mg,1 vez/día; Dos veces al día si interacciones/resistencia,100 mg/día,Oral,Infección por VIH-1,"Insomnio, cefalea, mareo, fatiga, diarrea, náuseas, aumento peso, rash, reacciones hipersensibilidad","Hipersensibilidad, coadministración con dofetilida"
Dolutegravir,Inhibidor de la Integrasa,50 mg,Una vez al día,50 mg/día,Oral,VIH,"Insomnio, erupción cutánea",Hipersensibilidad
Domperidona,Antiemético,10-20 mg,3-4 veces al día,80 mg/día,"Oral, Rectal",dispepsia,"Boca seca, cefalea, somnolencia, prolongación QT, arritmias ventriculares","Prolactinoma, hemorragia/obstrucción/perforación GI, I.H. moderada/grave, prolongación QT conocida, alteraciones electrolíticas significativas, IC congestiva"
Domperidona,Antiemético,10 mg,3-4 times daily,40 mg/día,Oral,Náuseas,"Boca seca, prolongación QT",Prolactinoma
Domperidona Maleato,Antiemético,10-20 mg,3-4 veces al día,80 mg/día,"Oral, Rectal","Náuseas, vómitos, dispepsia","Boca seca, cefalea, somnolencia, prolongación QT, arritmias ventriculares","Prolactinoma, hemorragia/obstrucción/perforación GI, I.H. moderada/grave, prolongación QT conocida, IC congestiva"
Donepezilo Clorhidrato,Inhibidor de la Colinestarasa,5 mg,Una vez al día,23 mg/día,Oral,Alzheimer,"Náuseas, insomnio",Hipersensibilidad
Donepezilo/Memantina,Inhibidor de Colinesterasa/Antagonista NMDA,Donepezilo 10 mg / Memantina 10-20 mg,1 vez/día,10 mg Donepezilo / 20 mg Memantina día,Oral,Enfermedad de Alzheimer moderada a grave,"Cefalea, fatiga, agitación",Hipersensibilidad a donepezilo/memantina/derivados piperidina
Dopamina,Agente Inotrópico,2-20 mcg/kg/min,Infusión IV continua,50 mcg/kg/min,IV,"Shock cardiogénico/séptico, Insuficiencia cardíaca aguda","Taquicardia, arritmias, hipertensión, vasoconstricción periférica, extravasación","Feocromocitoma, taquiarritmias no corregidas, fibrilación ventricular"
Dopamina Clorhidrato,Agente Inotrópico,2-20 mcg/kg/min,Infusión continua,Sin máximo fijo,IV,Shock,"Taquicardia, hipertensión",Feocromocitoma
Dornasa Alfa,Mucolítico,2.5 mg,Una vez al día,2.5 mg/día,Inhalación,Fibrosis quística,"Faringitis, cambio voz, rash, dolor torácico, conjuntivitis",Hipersensibilidad
Dornasa Alfa Inhalación,Mucolítico,2.5 mg,Una vez al día,2.5 mg/día,Inhalatoria,Fibrosis quística,"Cambio de voz, erupción cutánea",Hipersensibilidad
Dorzolamida,Inhibidor de la Anhidrasa Carbónica,1 gota solución 2%,2-3 veces al día,3 gotas/ojo/día,Oftálmica,"Glaucoma de ángulo abierto, Hipertensión ocular","Ardor/picazón ocular, sabor amargo/metálico, visión borrosa, lagrimeo, queratitis punctata superficial","Hipersensibilidad a dorzolamida/sulfonamidas, I.R. grave, acidosis hiperclorémica"
Dorzolamida/Timolol,Inhibidor Anhidrasa Carbónica/Betabloqueador,1 gota solución 2%/0.5%,Dos veces al día,2 gotas/ojo/día,Oftálmico,"Glaucoma, Hipertensión ocular","Ardor/picazón ocular, sabor amargo, visión borrosa, bradicardia, broncoespasmo","Hipersensibilidad, asma, EPOC grave, bradicardia sinusal, bloqueo AV 2º-3º, IC manifiesta"
Doxacurio Cloruro,Bloqueador Neuromuscular,Inicial: 0.025-0.05 mg/kg; Mantenimiento: 0.005-0.01 mg/kg,Bolos IV según necesidad o infusión continua,0.05 mg/kg,IV,Relajación muscular cirugía/UCI,"Hipotensión, bradicardia, flushing, broncoespasmo",Hipersensibilidad
Doxacurio Cloruro,Bloqueador Neuromuscular,0.05 mg/kg,Según necesidad,Sin máximo fijo,IV,Cirugía,Hipotensión,Hipersensibilidad
Doxapram,Estimulante Respiratorio,1-2 mg/kg,Según necesidad,Sin máximo fijo,IV,Depresión respiratoria,"Hipertensión, convulsiones",Hipersensibilidad
Doxazosina,Bloqueador Alfa,Inicial: 1 mg; Mantenimiento: 2-8 mg,1 vez/día,16 mg/día,Oral,"Hipertensión arterial, Hiperplasia Prostática Benigna","Mareo, cefalea, fatiga, hipotensión postural, síncope, edema periférico, rinitis","Hipersensibilidad, antecedentes hipotensión ortostática, I.H. grave, obstrucción GI/esofágica/urinaria"
Doxepina,Antidepresivo Tricíclico,Depresión/Ansiedad: 75-150 mg; Insomnio: 3-6 mg,Depresión: 1-3 veces/día o dosis única HS; Insomnio: Dosis única HS,300 mg/día,"Oral, Tópica","Depresión, Ansiedad, Insomnio","Somnolencia, boca seca, visión borrosa, estreñimiento, retención urinaria, hipotensión ortostática, aumento peso, mareo","Hipersensibilidad a doxepina/tricíclicos, glaucoma ángulo estrecho, tendencia retención urinaria, uso concomitante IMAO"
Doxepina Clorhidrato,Antidepresivo Tricíclico,25 mg,Una vez al día,300 mg/día,Oral,Depresión,"Somnolencia, boca seca",Uso de IMAO
Doxepina Crema,Antidepresivo Tricíclico,Aplicar crema 5%,Hasta 4 veces al día,Crema 5%,Tópico,Prurito asociado a dermatitis atópica/eccema,"Somnolencia, boca seca, ardor/picazón sitio aplicación","Hipersensibilidad a doxepina/tricíclicos, glaucoma ángulo estrecho, retención urinaria, uso concomitante IMAO"
Doxercalciferol,Análogo Vitamina D,Inicial: 10 mcg 3x/sem o 1 mcg QD; Ajustar según PTH/Ca/P,Una vez al día o 3 veces por semana,20 mcg/semana,"Oral, IV",Hiperparatiroidismo secundario en ERC diálisis,"Hipercalcemia, hiperfosfatemia, cefalea, malestar general, edema, disnea","Hipersensibilidad, hipercalcemia, evidencia toxicidad Vitamina D"
Doxiciclina,Antibiótico Tetraciclina,100-200 mg día,Una o dos veces al día,200 mg/día,"Oral, IV","Infecciones respiratorias, ETS, piel/tejidos blandos, Rickettsiosis, Enf. Lyme, Antrax, Malaria profilaxis/tto, Acné, Rosácea","Fotosensibilidad, diarrea, esofagitis, decoloración dental niños, hipertensión intracraneal benigna","Hipersensibilidad a tetraciclinas, embarazo, lactancia, niños <8 años"
Doxiciclina Monohidrato,Tetraciclina,100 mg,Dos veces al día,200 mg/día,Oral,Infecciones bacterianas,"Fotosensibilidad, náuseas",Embarazo
Doxilamina Succinato,Antihistamínico,12.5-25 mg,Una vez al día al acostarse,25 mg/día,Oral,Insomnio ocasional,"Somnolencia diurna, mareo, boca seca, visión borrosa, estreñimiento, retención urinaria","Hipersensibilidad, glaucoma ángulo estrecho, HBP sintomática, obstrucción piloroduodenal, crisis asmática aguda"
Doxilamina Succinato,Antihistamínico,25 mg,Una vez al día al acostarse,25 mg/día,Oral,Insomnio,"Somnolencia, boca seca",Glaucoma
Doxorrubicina,Antraciclina,40-75 mg/m²,Ciclos IV cada 3-4 semanas,550 mg/m² acumulada,IV,"Leucemias, Linfomas, Cáncer, Sarcomas","Cardiotoxicidad aguda y crónica, mielosupresión severa, mucositis, alopecia, coloración roja orina, extravasación severa","Hipersensibilidad, mielosupresión marcada preexistente, IC grave, arritmias severas, infarto miocardio reciente, I.H. grave"
Doxorrubicina Liposomal,Antraciclina,50 mg/m²,Cada 4 semanas,Sin máximo fijo,IV,Cáncer,"Cardiotoxicidad, náuseas",Insuficiencia cardíaca severa
Dronabinol,Cannabinoide,Antiemético: 5 mg/m²; Estimulante apetito: 2.5 mg,Antiemético: cada 4-6h; Apetito: 2 veces/día,Antiemético: 15 mg/m²/dosis; Apetito: 20 mg/día,Oral,Náuseas/vómitos refractarios quimio; Anorexia/pérdida peso SIDA,"Mareo, somnolencia, euforia/disforia, confusión, ataxia, hipotensión postural, taquicardia, boca seca, paranoia","Hipersensibilidad a cannabinoides/aceite sésamo, antecedentes reacciones psicóticas"
Dronabinol Cápsula,Cannabinoide,Antiemético: 5 mg/m²; Apetito: Inicial 2.5 mg 2 veces/día,Antiemético: cada 4-6h; Apetito: 2 veces/día,Antiemético: 15 mg/m²/dosis; Apetito: 20 mg/día,Oral,Náuseas/vómitos quimio; Anorexia/pérdida peso SIDA,"Mareo, somnolencia, euforia, confusión, ataxia, hipotensión postural",Hipersensibilidad a cannabinoides/aceite sésamo
Dronedarona,Antiarrítmico,400 mg,Dos veces al día,800 mg/día,Oral,Fibrilación/Flutter auricular paroxístico o persistente,"Diarrea, dolor abdominal, astenia, bradicardia, prolongación QT, rash, aumento creatinina, hepatotoxicidad severa","Hipersensibilidad, bloqueo AV 2º-3º, bradicardia <50 lpm, IC descompensada/permanente, I.H. grave, uso concomitante inhibidores potentes CYP3A4/fármacos pro-QT"
Dronedarona Clorhidrato,Antiarrítmico,400 mg,Dos veces al día,800 mg/día,Oral,Arritmias,"Náuseas, prolongación QT",Insuficiencia cardíaca severa
Droperidol,Antiemético/Antipsicótico,Náuseas/Vómitos: 0.625-2.5 mg; Agitación: 2.5-10 mg,Según necesidad,10 mg/día,"IM, IV",Profilaxis/Tto Náuseas y Vómitos Postoperatorios; Sedación/agitación,"Somnolencia, sedación, hipotensión, mareo, efectos extrapiramidales, prolongación QT, Torsades de Pointes","Hipersensibilidad, QT largo conocido/sospecha, hipopotasemia/hipomagnesemia no corregidas, bradicardia <55 lpm, uso concomitante fármacos pro-QT"
Droperidol,Antiemético/Antipsicótico,2.5 mg,Según necesidad,10 mg/día,IM/IV,Náuseas,"Somnolencia, prolongación QT",Hipersensibilidad
Drospirenona,Progestágeno,3 mg o 4 mg según combinación,Una vez al día continuo o cíclico,4 mg/día,Oral,Anticoncepción; TDM premenstrual; Acné moderado,"Sangrado/manchado irregular, cefalea, sensibilidad mamaria, náuseas, cambios ánimo, riesgo tromboembólico","Hipersensibilidad, enf. tromboembólica V/A activa/previa, tumor progestágeno-dependiente, sangrado vaginal no diagnosticado, I.R./I.H./suprarrenal"
Drospirenona/Etinilestradiol,Progestina/Estrógeno,3/0.03 mg,Una vez al día,Sin máximo fijo,Oral,Anticoncepción,"Náuseas, tromboembolismo",Antecedentes de cáncer de mama
Droxidopa,Agente Adrenérgico,Inicial: 100 mg; Titular hasta 600 mg,Tres veces al día,1800 mg/día,Oral,Hipotensión ortostática neurogénica sintomática,"Cefalea, mareo, náuseas, hipertensión supina, fatiga, caídas",Hipersensibilidad
Droxidopa Cápsula,Agente Adrenérgico,100 mg,3 veces al día,1800 mg/día,Oral,Hipotensión ortostática neurogénica,"Hipertensión, cefalea",Feocromocitoma
Dulaglutida,Agonista de GLP-1,0.75 - 4.5 mg,Una vez a la semana,4.5 mg/semana,Subcutánea,Diabetes Mellitus tipo 2; Reducción riesgo cardiovascular,"Disminución apetito, hipoglicemia, reacciones sitio, pancreatitis aguda, tumores células C tiroides","Hipersensibilidad, antecedentes personales/familiares carcinoma medular tiroides, MEN 2"
Dulaglutida,Agonista GLP-1,0.75 mg,Una vez por semana,4.5 mg/semana,Subcutáneo,Diabetes tipo 2,"Náuseas, pancreatitis",Cáncer medular de tiroides
Duloxetina Clorhidrato,ISRSN,30-60 mg,Una vez al día,120 mg/día,Oral,"Depresión mayor, Trastorno ansiedad generalizada, Dolor neuropático diabético, Fibromialgia","Náuseas, boca seca, somnolencia, fatiga, mareo, insomnio, sudoración","Hipersensibilidad, uso concomitante IMAO, I.H. grave, I.R. grave"
Dupilumab,Anticuerpo Monoclonal,Inicial: 600 mg; Mantenimiento: 300 mg,Mantenimiento: Cada 2 semanas,300 mg,Subcutáneo,"Dermatitis atópica moderada/grave, Asma grave eosinofílica/dependiente corticoides, Rinosinusitis crónica con poliposis nasal, Esofagitis eosinofílica, Prurigo nodular","Reacción sitio, conjuntivitis, herpes oral, eosinofilia, artralgia",Hipersensibilidad
Dupilumab,Anticuerpo Monoclonal,300 mg,Cada 2 semanas,Sin máximo fijo,Subcutáneo,Asma,Reacción en el sitio de,Hipersensibilidad
Durvalumab,Inhibidor PD-L1,10 mg/kg o 1500 mg dosis fija,"Cada 2, 3 o 4 semanas según indicación",1500 mg,IV,CPNM estadio III irresecable; CPNM estadio extendido; Cáncer vías biliares; Carcinoma hepatocelular,"Fatiga, tos, neumonitis, reacciones relacionadas infusión, hipo/hipertiroidismo, dolor musculoesquelético, diarrea, rash",Hipersensibilidad
Durvalumab,Inhibidor PD-L1,10 mg/kg,Cada 2 semanas,Sin máximo fijo,IV,Cáncer de pulmón,"Fatiga, neumonitis",Hipersensibilidad
Dutasterida,Inhibidor de la 5-Alfa Reductasa,0.5 mg,1 vez/día,0.5 mg/día,Oral,Hiperplasia Prostática Benigna,"Disminución li2 veces/díao, disfunción eréctil, trastornos eyaculación, ginecomastia, mareo","Hipersensibilidad a dutasterida/inhibidores 5-AR, mujeres, niños, adolescentes, I.H. grave"
Dutasterida Cápsula,Inhibidor 5-Alfa Reductasa,0.5 mg,Una vez al día,0.5 mg/día,Oral,HPB (Hiperplasia Prostática Benigna),Disfunción sexual,Embarazo (manipulación)
Dutasterida/Tamsulosina,Inhibidor 5-alfa reductasa/Bloqueador Alfa,0.5 mg Dutasterida / 0.4 mg Tamsulosina,Una vez al día,0.5 mg Dutasterida / 0.4 mg Tamsulosina día,Oral,Hiperplasia Prostática Benigna,"Disfunción eréctil, disminución li2 veces/díao, trastornos eyaculación, mareo, hipotensión ortostática","Hipersensibilidad a componentes/inhibidores 5-AR, mujeres, niños, adolescentes, antecedentes hipotensión ortostática, I.H. grave"
Ebastina,Antihistamínico,10-20 mg,Una vez al día,20 mg/día,Oral,"Rinitis alérgica, Urticaria crónica idiopática","Cefalea, somnolencia, boca seca",Hipersensibilidad
Ebastina,Antihistamínico,10 mg,Una vez al día,20 mg/día,Oral,Alergias,"Somnolencia, cefalea",Hipersensibilidad
Ecalantida,Inhibidor de la Calicreína Plasmática,30 mg,Según necesidad,Sin máximo fijo,Subcutáneo,Angioedema,"Cefalea, anafilaxia",Hipersensibilidad
Ecallantide,Inhibidor Calicreína Plasmática,30 mg,"SC única según necesidad durante ataque agudo""",30 mg/dosis,Subcutáneo,Ataques agudos Angioedema Hereditario,"Reacción sitio, cefalea, náuseas, fatiga, diarrea, pirexia, riesgo anafilaxia",Hipersensibilidad
Econazol Nitrato,Antifúngico Azólico,Aplicar crema/polvo/solución 1%,1-2 veces al día,Aplicación 2 veces/día,Tópico,Infecciones fúngicas cutáneas,"Ardor, picazón, eritema, irritación local",Hipersensibilidad
Econazol Nitrato,Antifúngico,1% crema,Una vez al día,Sin máximo fijo,Tópico,Infecciones fúngicas,Irritación,Hipersensibilidad
Ecotiopato Yoduro,Inhibidor Colinesteasa,1 gota solución 0.03%-0.125%,Una o dos veces al día,2 gotas/ojo/día,Oftálmico,Glaucoma,"Visión borrosa, espasmo ciliar, irritación ocular, riesgo efectos sistémicos colinérgicos","Hipersensibilidad, glaucoma ángulo estrecho, iritis aguda"
Ecotiopato Yoduro,Inhibidor de la Colinestarasa,1 gota (0.125%),Dos veces al día,2 gotas/ojo/día,Oftálmico,Glaucoma,Visión borrosa,Efectos colinérgicos sistémicos
Edaravona,Antioxidante,60 mg,"Infusión IV diaria por 10-14 días, ciclos mensuales",60 mg/día,IV,Esclerosis Lateral Amiotrófica,"Contusión, trastorno marcha, cefalea, dermatitis, eccema, reacciones hipersensibilidad",Hipersensibilidad
Edaravona,Antioxidante,60 mg,Diario por 14 días,Sin máximo fijo,IV,ELA (Esclerosis Lateral Amiotrófica),"Erupción cutánea, alteración de la marcha",Hipersensibilidad
Edoxabán,Anticoagulante,30-60 mg,1 vez/día,60 mg/día,Oral,"Prevención ictus en FA no valvular, tratamiento y prevención secundaria TVP/EP","Sangrado, anemia, hematoma, epistaxis, hemorragia GI, función hepática anormal, rash, prurito","Hipersensibilidad, sangrado activo clínicamente significativo, lesión/condición riesgo sangrado mayor, I.H. asociada a coagulopatía, I.R. grave, embarazo, lactancia"
Edoxabán Tosilato,Anticoagulante,60 mg,Una vez al día,60 mg/día,Oral,Prevención de trombosis,"Sangrado, erupción cutánea",Sangrado activo
Edrofonio Cloruro,Inhibidor Colinesteasa,"Diagnóstico Miastenia: 2 mg IV inicial, luego 8 mg si tolerado; Reversión bloqueo NM: 10 mg IV",Dosis única según necesidad para diagnóstico/reversión,10 mg,IV,Diagnóstico Miastenia Gravis; Evaluación respuesta tto anticolinesterásico; Reversión bloqueo neuromuscular no despolarizante,"Crisis colinérgica, bradicardia, salivación, lagrimeo, broncoespasmo, fasciculaciones","Hipersensibilidad, obstrucción mecánica GI/urinaria, bradicardia"
Edrofonio Cloruro,Inhibidor de la Colinestarasa,10 mg,Según necesidad,Sin máximo fijo,IV,Diagnóstico de miastenia gravis,Crisis colinérgica,Asma
Efavirenz,Antirretroviral,Adultos/Niños ≥40kg: 600 mg; Niños <40kg: Dosis ajustada por peso,1 vez/día,600 mg/día,Oral,Infección por VIH-1,"Sueños anormales, dificultad concentración, rash cutáneo, náuseas, fatiga, elevación transaminasas, hiperlipidemia, efectos psiquiátricos, teratogenicidad","Hipersensibilidad, I.H. grave, uso concomitante voriconazol, elbasvir/grazoprevir, hierba San Juan"
Efavirenz,Antirretroviral,600 mg,Una vez al día,600 mg/día,Oral,VIH,"Erupción cutánea, mareos",Enfermedad hepática severa
Efavirenz/Emtricitabina/Tenofovir Disoproxil Fumarato,Combinación Antirretroviral,Efavirenz 600 mg / Emtricitabina 200 mg / Tenofovir DF 300 mg,Una vez al día,1/día,Oral,Infección por VIH-1,"Mareo, sueños anormales, rash, diarrea, náuseas, cefalea, fatiga, riesgo toxicidad renal/ósea (Tenofovir DF), efectos psiquiátricos (Efavirenz)","Hipersensibilidad, I.R. grave, uso concomitante ciertos fármacos"
Efgartigimod Alfa,Inhibidor FcRn,10 mg/kg,Semanalmente,Sin máximo fijo,IV,Miastenia gravis,"Infecciones, cefalea",Hipersensibilidad
Elagolix,Antagonista GnRH,Dolor leve/mod: 150 mg QD; Dolor mod/sev: 200 mg 2 veces/día,Una o dos veces al día,400 mg/día,Oral,Dolor moderado a severo asociado a Endometriosis,"Sofocos, cefalea, náuseas, insomnio, amenorrea, disminución densidad mineral ósea, cambios ánimo, elevación transaminasas","Hipersensibilidad, embarazo, osteoporosis conocida, I.H. grave, uso concomitante inhibidores potentes OATP1B1"
Elagolix Sódico,Antagonista GnRH,150 mg,Una vez al día,400 mg/día,Oral,Endometriosis,"Sofocos, pérdida ósea",Embarazo
Eletriptán,Triptán,20-80 mg,"Dosis única al inicio, repetir x1 tras ≥2h si recurrencia",80 mg/día,Oral,Tratamiento agudo de migraña,"Mareo, somnolencia, astenia, náuseas, boca seca, sensación opresión/dolor, parestesias, flushing","Hipersensibilidad, HTA no controlada, cardiopatía isquémica, enf. vascular periférica, ACV/AIT previo, I.H./I.R. grave, uso ergotamínicos/otros triptanes en 24h"
Eletriptán Bromhidrato,Triptán,20-40 mg; ↑ a 80 mg si necesario,Repetir x1 tras ≥2h si recurrencia,80 mg/día,Oral,Tratamiento agudo de migraña,"Mareo, somnolencia, astenia, náuseas, boca seca, sensación opresión/dolor","Hipersensibilidad, HTA no controlada, cardiopatía isquémica, ACV/AIT previo, enf. vascular periférica, I.H./I.R. grave, uso ergotamínicos/otros triptanes en 24h"
Eletriptán Hidrobromuro,Triptano,40 mg,Según necesidad,80 mg/día,Oral,Migraña,"Opresión torácica, náuseas",Enfermedad arterial coronaria
Eliglustat Tartrato,Inhibidor Glicoesfingolípido Sintasa,84 mg (según metabolizador CYP2D6),Una o dos veces al día,168 mg/día,Oral,Enfermedad Gaucher tipo 1,"Fatiga, cefalea, náuseas, diarrea, dolor espalda/extremidades, artralgia","Hipersensibilidad, metabolizadores ultrarrápidos/indeterminados CYP2D6, I.H. moderada/grave, uso concomitante inhibidores potentes/moderados CYP2D6/CYP3A"
Eliglustat Tartrato,Inhibidor de Glicoesfingolípidos,84 mg,Dos veces al día,168 mg/día,Oral,Enfermedad de Gaucher,"Fatiga, diarrea",Metabolizadores lentos CYP2D6
Elosulfasa Alfa,Reemplazo enzimático,2 mg/kg,Infusión IV semanal,2 mg/kg,IV,Mucopolisacaridosis tipo IVA,"Reacciones infusión, cefalea, náuseas, vómitos, pirexia, dolor abdominal",Hipersensibilidad grave potencialmente mortal
Elosulfasa Alfa,Reemplazo Enzimático,2 mg/kg,Semanalmente,Sin máximo fijo,IV,Mucopolisacaridosis,Reacciones a la infusión,Hipersensibilidad
Eltrombopag Olamina,Agonista Receptor Trombopoyetina,PTI: Inicial 25-50 mg QD; VHC: Inicial 25 mg QD; AAS: Inicial 50 mg QD,Una vez al día,PTI/VHC/AAS: 75 mg/día; AAS pretratados: 150 mg/día,Oral,Trombocitopenia Inmune Primaria; Trombocitopenia en VHC; Anemia Aplásica Severa,"Cefalea, náuseas, diarrea, fatiga, elevación transaminasas, riesgo trombosis/tromboembolismo, hepatotoxicidad, cataratas","Hipersensibilidad, I.H. grave"
Eltrombopag Olamina,Agonista Receptor Trombopoyetina,50 mg,Una vez al día,75 mg/día,Oral,Trombocitopenia,"Náuseas, toxicidad hepática",Hipersensibilidad
