name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications,drug.pediatric,full_safety_text,cat_pregnancy,cat_lactation,cat_liver,cat_kidney
Asparaginasa,Antineoplásico,"6.000 - 10.000 UI/m² (c/3 días)

25.000 UI/m²(semanal)",Variable según protocolo,No especificado,IM / IV,Leucemia linfoblástica aguda (LLA),"Emb: C

Lact: Evitar (D)","Hígado: Precaución (C)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Evitar (D) | Hígado: Precaución (C)

Riñón: Evitar (X)",Restringido (C),Contraindicado,,Evitar su uso
Astemizol,Antihistamínico,0.2 mg/kg,DUD (Dosis Única Diaria),10 mg/día,VO (Oral),Rinitis alérgica / Urticaria,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Atapulgita,Antidiarreico,"3-6 años: 300-750 mg/dosis

6-12 años: 750-1500 mg/dosis",Máx 7 dosis/día,"3-6a: 2.25 g/día

6-12a: 4.5 g/día",VO (Oral),Diarrea aguda,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Atazanavir, sulfato",Antirretroviral (Inh. Proteasa),7 - 8.5 mg/kg,c/24 h,400 mg/día,VO (Oral),VIH,"Emb: B

Lact: Precaución (C)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (C) | Hígado: Precaución (B)

Riñón: Seguro (A)",Aceptado (B),Contraindicado,,No requiere ajuste
Atenolol,Antihipertensivo (Betabloqueador),0.5 - 1 mg/kg/día,c/12 - 24 h,2 mg/kg/día,VO (Oral),Hipertensión / Arritmias,"Emb: D (Riesgo)

Lact: Precaución (D)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: D (Riesgo)

Lact: Precaución (D) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Riesgo (D),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
"Atomoxetina, clorhidrato",Inhibidor recaptación norepinefrina,"Inicial: 0.5 mg/kg/día

Mantenimiento:1.2 mg/kg/día",1 vez al día (mañana),1.4 mg/kg/día (o 100 mg),VO (Oral),TDAH (Déficit de Atención),"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Atorvastatina cálcica,Hipolipemiante (Estatina),10 mg/día(Inicial),1 vez al día,80 mg/día (Adultos),VO (Oral),Hipercolesterolemia familiar,"Emb: X (Contraindicado)

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: X (Contraindicado)

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Contraindicado (X),Precaución,,No requiere ajuste
Atovacuona,Antiprotozoario,"Neumonía: 30-40 mg/kg/día

Paludismo: 11-20kg -> 62.5/25 mg",c/24 h (Paludismo),No especificado,VO (Oral),Neumonía (Pneumocystis) / Paludismo,"Emb: C

Lact: Precaución (B)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Evitar (X)

Riñón: Evitar (X)",Restringido (C),Precaución,Evitar su uso,Evitar su uso
"Atracurio, besilato",Relajante muscular no despolarizante,0.3 - 0.4 mg/kg/dosis,Repetir según necesidad,No especificado,IV,Relajación muscular / Intubación,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Atropina, sulfato",Anticolinérgico,"Bradicardia:0.01-0.02 mg/kg

Asma: 0.03-0.05 mg/kg

Intoxicación:0.02-0.05 mg/kg",Dosis única / Repetir c/10-20 min (Intox),"Max Bradicardia:0.5 mg (niños), 1 mg (adolesc)",IV / IO / ET / SC,Bradicardia / Intox. organofosforados,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Auranofin,Compuesto de oro,0.1 mg/kg/día,c/12 - 24 h,6 mg/día,VO (Oral),Artritis reumatoide juvenil,"Emb: C

Lact: Precaución (C)","Hígado: Evitar (D)

Riñón: Evitar (D)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Evitar (D)

Riñón: Evitar (D)",Restringido (C),Contraindicado,,Dosis debe disminuirse
Aurotioglucosa,Compuesto de oro,"Prueba: 10 mg IM

Mant: 1 mg/kg/dosis",Semanal (Intervalos 2-4 sem),50 mg/dosis,IM,Artritis reumatoide juvenil,"Emb: C

Lact: Precaución (C)","Hígado: Evitar (D)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Evitar (D)

Riñón: Evitar (X)",Restringido (C),Contraindicado,,Evitar su uso
Azatadina,Antihistamínico,12 - 60 años: 1 mg (1 tab),c/12 h,No especificado,VO (Oral),Rinitis / Alergias,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Azatioprina,Inmunosupresor,"Mant: 1 - 2 mg/kg/día

Inducción: 3 - 5 mg/kg/día",c/12 - 24 h,No especificado,VO / IV,Trasplante / Enfermedades autoinmunes,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Evitar (D)

Riñón: Evitar (X)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Evitar (D)

Riñón: Evitar (X)",Riesgo (D),Contraindicado,,Evitar su uso
Azelastina,Antihistamínico nasal,>6 años: 1 spray en cada fosa,2 veces al día,No especificado,Nasal,Rinitis alérgica / Conjuntivitis (Oft),"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Azelastina / Fluticasona,Antihistamínico / Corticoide,>6 años: 1 spray en cada fosa,2 veces al día,No especificado,Nasal,Rinitis alérgica estacional,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Azitromicina,Antibiótico (Macrólido),"Estándar: 10 mg/kg (Día 1), luego 5 mg/kg (Días 2-5)

Faringitis: 12 mg/kg/día",c/24 h,500 mg/día,VO (Oral),Infecciones respiratorias / Otitis / Faringitis,"Emb: B

Lact: Seguro (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Aztreonam,Antibiótico (Monobactámico),"Fibrosis Q: 200 mg/kg/día

Grave: 120 - 160 mg/kg/día",c/6 - 8 h,8 g/día,IV / IM,Infecciones Gram-negativos aerobios,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (D?)

Riñón: Reducir dosis (D)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (D?)

Riñón: Reducir dosis (D)",Aceptado (B),Seguro (Compatible),,Dosis debe disminuirse
Azul de metileno,Antídoto,1 - 2 mg/kg,Dosis Única (Repetir en 1h si necesario),No especificado,IV,Metahemoglobinemia,"Emb: C

Lact: Evitar (D)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Evitar (D) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Bacitracina,Antibiótico tópico,Aplicar en área afectada,2 a 4 veces al día,No especificado,Tópico / Oftálmico,Infecciones cutáneas u oculares,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Baclofeno,Relajante muscular esquelético,"Inicio: 0.3 mg/kg/día

Mant: 0.75 - 2.5 mg/kg/día",c/8 h,"<2a: 40 mg

2-7a: 60 mg

>7a: 120 mg",VO (Oral),Espasticidad muscular,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (↓)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (↓)",Restringido (C),Seguro (Compatible),No requiere ajuste,
Baloxavir marboxil,Antiviral (Inhibidor endonucleasa),">12 años (>40 kg): 40 mg

>80 kg: 80 mg",Dosis Única (en 1eras 48h),No especificado,VO (Oral),Influenza A y B (Gripe),"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Basiliximab,Inmunosupresor (Monoclonal),"<35 kg: 10 mg (2 dosis)

>35 kg: 20 mg (2 dosis)",Día 0 (previo) y Día 4 (post),No especificado,IV,Profilaxis rechazo trasplante renal,"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
"Beclometasona, dipropionato",Corticosteroide inhalado,Broncoespasmo:2 inhalaciones (o 6-12 años: 1-2 inh),c/6 - 12 h,10 inhalaciones/día (según concentración),Inhalado / Nasal,Asma bronquial / Rinitis alérgica,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Benazepril, clorhidrato",Antihipertensivo (IECA),0.2 mg/kg/día,c/24 h (DUD),"Inicial: 10 mg/día

Max: 40 mg/día",VO (Oral),Hipertensión arterial,"Emb: C / D (2º/3º trim)

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Reducir Dosis (↓)",yes,"Emb: C / D (2º/3º trim)

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Reducir Dosis (↓)",Restringido (C),Precaución,,
Bencetonio,Antiséptico / Desinfectante,Aplicar 2 a 3 veces al día,2 a 3 veces al día,No especificado,Tópico,Desinfección piel y mucosas,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Benceno, hexacloruro",Escabicida,Véase Gamabenceno,-,-,-,-,-,-,yes,- | -,,,,
Bencilpenicilina,Antibiótico,Véase Penicilina cristalina,-,-,-,-,-,-,yes,- | -,,,,
"Benzatropina, mesilato",Anticolinérgico,0.02 - 0.05 mg/kg/dosis,c/12 - 24 h,4 mg/día,IM / IV / VO,Reacciones extrapiramidales / Parkinsonismo,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Benzidamina,Antiinflamatorio tópico,"Spray: 4 sprays (adultos), 1 spray/10kg (niños)

Sol: 15 ml (cda)",c/6 h,Max 4 sprays (niños) o 6 (adultos),Tópico / Gargarismo,Dolor e inflamación bucofaríngea,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Benzocaína,Anestésico local,Aplicar hasta llenar el CAE (Otitis) o tópicamente,c/1 a 3 h (hasta aliviar dolor),No especificado,Tópico / Ótico,Otitis / Dolor bucofaríngeo / Teething,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Benzocaína / Cetilpiridinio, cloruro",Anestésico / Antiséptico,Dejar disolver en boca 1 pastilla,3 ó 4 veces al día (o c/2h),Max 4 al día (niños),VO (Tópico mucosa),Dolor de garganta / Faringitis,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Benzofenona,Protector solar,Aplicar 30 minutos antes de exposición,Repetir según necesidad,No especificado,Tópico,Protección solar UV-A,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Benzoato de bencilo,Escabicida / Pediculicida,"Aplicar en todo el cuerpo, lavar a las 24h",Repetir por 3 días,No especificado,Tópico,Escabiosis / Pediculosis,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Benzoilo, peróxido",Antiacné / Queratolítico,Aplicar 1 a 3 veces al día,Iniciar 15 min y aumentar duración,No especificado,Tópico,Acné vulgar,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Beractante bovino,Surfactante pulmonar,4 ml/kg,"1 dosis, repetir c/6h si necesario",4 dosis en 48h,Intratraqueal (IT),Síndrome Dificultad Respiratoria (RN),"Emb: ?

Lact: ?","Hígado: ?

Riñón: ?",yes,"Emb: ?

Lact: ? | Hígado: ?

Riñón: ?",,,,
"Betahistina, clorhidrato",Antivertiginoso,"6-12 años: 5 ml

>12 años: 10 ml (1 tab)",c/12 h,48 mg/día,VO (Oral),Síndrome de Meniere / Vértigo,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Betaína anhidra,Agente para homocistinuria,100 mg/kg/día,c/12 h,20 g/día,VO (Oral),Homocistinuria,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Betametasona, acetato",Corticosteroide sistémico,0.0175 - 0.125 mg/kg/día (o 0.5 - 7.5 mg/m²),c/6 - 12 h,No especificado,IM / VO / Intraarticular,Inflamación severa / Maduración pulmonar,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Reducir Dosis (↓)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Reducir Dosis (↓)",Restringido (C),Precaución,,
"Betametasona, valerato",Corticosteroide tópico,Aplicar 2 ó 3 veces al día,2 ó 3 veces al día,No especificado,Tópico,Dermatitis / Eczema,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Betametasona, dipropionato / Neomicina / Clotrimazol",Corticoide / Antibiótico / Antimicótico,Aplicar 2 veces al día,2 veces al día (mañana y noche),No especificado,Tópico,Dermatitis infectada / Tiña,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Betametasona / Gentamicina / Clotrimazol,Corticoide / Antibiótico / Antimicótico,Aplicar 2 veces al día,2 veces al día,No especificado,Tópico,Dermatitis infectada / Tiña,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Betametildigoxina,Glucósido cardíaco,"Impregnación (µg/kg): Prem: 20, RN: 30, Lact: 40-50, Niño: 30-40",Dosis divididas,Mant: 1/4 dosis impregnación,VO / IV,Insuficiencia cardíaca / Arritmias,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (↓)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (↓)",Restringido (C),Seguro (Compatible),No requiere ajuste,
Bevacizumab,Antineoplásico (Monoclonal),Tumores: 5 - 15 mg/kg,c/2 sem (c/14d) o c/3 sem (c/21d),No especificado,IV (Infusión),Tumores sólidos / Metástasis,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Betanecol, cloruro",Agente colinérgico,0.1 - 0.2 mg/kg/dosis,c/6 h - 8 h (antes comidas),No especificado,VO (Oral),Retención urinaria / Reflujo,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Bicarbonato de sodio,Alcalinizante / Electrolito,"Paro: 1 mEq/kg (bolo)

Acidosis: Déficit base x kg x 0.3

Lisis tumoral:120 - 200 mEq/m²/día","Paro: Repetir c/10 min

Mtto: c/24h",No especificado,IV,Paro cardíaco / Acidosis met. / Hiperpotasemia,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Bifonazol,Antimicótico tópico,Aplicar 1 vez al día,1 vez al día (noche),No especificado,Tópico,Micosis cutáneas / Pie de atleta,"Emb: ?

Lact: ?","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: ?

Lact: ? | Hígado: Seguro (A)

Riñón: Seguro (A)",,Seguro (Compatible),No requiere ajuste,No requiere ajuste
Bimatoprost,Prostaglandina (Antiglaucoma),1 gota en ojo afectado,1 vez al día (noche),No especificado,Oftálmica,Glaucoma / Hipotricosis pestañas,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Biperideno, clorhidrato",Antiparkinsoniano,0.02 - 0.1 mg/kg/dosis,c/6 - 12 h,No especificado,VO / IM / IV,Síntomas extrapiramidales / Parkinsonismo,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Biotina (Vitamina H),Vitamina,"Deficiencia: 5 - 10 mg/día

Mant: 5 - 20 mg/día",DUD (1 vez al día),No especificado,VO (Oral),Deficiencia de biotinidasa / Dermatitis,"Emb: A / C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A / C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Bismuto, subsalicitato",Antidiarreico / Antisecretor,"Diarrea: 100 mg/kg/día

H. pylori:<10a: 262 mg/dosis; >10a: 524 mg/dosis","c/4 h (Diarrea)

c/6 h (Pylori)",No especificado,VO (Oral),Diarrea infecciosa / H. pylori,"Emb: C / D (3º trim)

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Precaución (D)",yes,"Emb: C / D (3º trim)

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Precaución (D)",Restringido (C),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
Bisacodilo,Laxante estimulante,"0.3 mg/kg/día

>2 años: 5 - 10 mg

Adultos: 10 - 15 mg",Dosis Única (DUD),15 mg/día,VO (Oral),Estreñimiento,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Bretilio, tosilato",Antiarrítmico,"Carga: 5 mg/kg

Mant: 10 mg/kg/dosis","c/15 - 30 min (carga)

c/6 h (mant)",30 mg/kg/día,IM / IV,Taquicardia supraventricular,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Restringido (C),Precaución,No requiere ajuste,Intervalo entre dosis debe prolongarse
"Brimonidina, tartrato",Agonista alfa-2 (Oftálmico),1 gota en saco conjuntival,2 - 3 veces al día,No especificado,Oftálmica,Glaucoma / Hipertensión ocular,"Emb: B

Lact: Evitar (D)","Hígado: Precaución (B)

Riñón: Evitar (D)",yes,"Emb: B

Lact: Evitar (D) | Hígado: Precaución (B)

Riñón: Evitar (D)",Aceptado (B),Precaución,,Dosis debe disminuirse
Brinzolamida,Inhibidor anhidrasa carbónica,1 gota en saco conjuntival,2 veces al día,No especificado,Oftálmica,Glaucoma / Hipertensión ocular,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Evitar (D)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Evitar (D)",Restringido (C),Precaución,,Dosis debe disminuirse
Bromazepam,Benzodiacepina (Ansiolítico),0.1 - 0.3 mg/kg/día,c/8 - 12 h,No especificado,VO (Oral),Ansiedad / Neurosis,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Reducir Dosis (↓)

Riñón: Intervalo (I)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Reducir Dosis (↓)

Riñón: Intervalo (I)",Riesgo (D),Contraindicado,Disminuir la dosis,Intervalo entre dosis debe prolongarse
Bromfeniramina / Fenilefrina,Antihistamínico / Descongestionante,0.1 - 0.2 mg/kg/dosis,c/6 - 8 h,No especificado,VO (Oral),Rinitis / Congestión nasal,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Bromhexina, clorhidrato",Mucolítico,1 mg/kg/día,c/8 h,No especificado,VO (Oral),Secreciones bronquiales,"Emb: A

Lact: Seguro (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Precaución,No requiere ajuste,No requiere ajuste
"Bromocriptina, mesilato",Antiparkinsoniano / Agonista dopamina,1.25 - 2.5 mg/día,Aumentar 1.25 - 2.5 mg c/3 a 7 días,15 mg/día,VO (Oral),Hiperprolactinemia / Parkinson,"Emb: B

Lact: Evitar (C - Inhibe lactancia)","Hígado: Precaución (C)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Evitar (C - Inhibe lactancia) | Hígado: Precaución (C)

Riñón: Seguro (A)",Aceptado (B),Contraindicado,,No requiere ajuste
Bromuro de pancuronio,Bloqueante neuromuscular,"0.1 mg/kg(Dosis inicial)

Mant: 0.05 - 0.1 mg/kg",Según necesidad,No especificado,IV,Relajación muscular (Intubación/Cirugía),"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Bromuro de ipratropio,Broncodilatador (Anticolinérgico),"Nebulización:250-500 µg/dosis

Inhalador: 1-2 disparos (20-40 µg)",c/6 - 8 h,2 mg/día (Nebulizado),Inhalado / Nebulizado,Asma / EPOC / Broncoespasmo,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Bromuro de ipratropio / Salbutamol,Broncodilatador mixto,1 ampolla (o 1-2 disparos),c/6 - 8 h,No especificado,Inhalado / Nebulizado,Crisis asmática / Broncoespasmo,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Brotizolam,Benzodiacepina (Hipnótico),0.25 mg,Antes de acostarse (noche),No especificado,VO (Oral),Insomnio,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Evitar (D)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Evitar (D)

Riñón: Seguro (A)",Riesgo (D),Contraindicado,,No requiere ajuste
Budesonida,Corticosteroide inhalado,"Nebulización:0.25 - 0.5 mg (o hasta 1 mg)

Inhalador:200-400 µg",c/12 h,2 mg/día (Crup),Inhalado / Nebulizado,Asma / Crup / Rinitis,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Budesonida / Formoterol,Corticosteroide / Broncodilatador,1 - 2 inhalaciones,c/12 h,No especificado,Inhalado,Asma persistente / EPOC,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
